NAME	ARTIST	COLOR	BAX	CHRIS LIKES	DANCEABILITY (EST)	GENRE TAGS	LEADS	LIFE STAGE	YEAR CHARTED	TAGS	KEY	PITCH	TIME SIGNATURE	TEMPO	DURATION	MIDI SONG NUMBER	MIDI PROGRAM NUMBER	DOCUMENTS	RECORDINGS	MIDI PRESETS	LYRICS	LYRICS (HTML)	CHORDS	CHORDS (HTML)	NOTES	NOTES (HTML)	LAST PERFORMED	ACTIVE	ADDED
Mustang Sally	Wilson Pickett				80	Rock		80	1966		C			110	3:06				Mustang Sally.mp3		Mustang Sally, huh, huh, guess you better slow your mustang downOh Lord, what I said now?Mustang Sally, now baby, oh Lord, guess you better slow your mustang downHuh oh yeaahYou been running all over the town nowOh! I guess I'll have to put your flat feet on the groundHuh, what I said now?\nListenAll you want to do is ride around Sally, ride, Sally, rideAll you want to do is ride around Sally, ride, Sally, rideAll you want to do is ride around Sally, ride, Sally, ride. HuhAll you want to do is ride around Sally, ride, Sally, ride\nOne of these early mornings, baby, you gonna be wiping your weeping eyesHuh, what I said now?\nLook it here.I bought you a brand new mustang nineteen sixty five. HuhNow you come around signifying a woman, you don't wanna let me rideMustang Sally, now baby, oh Lord, guess you better slow that mustang downHuh, oh Lord. Look hereYou been running all over the townOh! I got to put your flat feet on the ground. Huh, What I said now?\nLet me say it one more time ya'llAll you want to do is ride around Sally, ride, Sally, rideAll you want to do is ride around Sally, ride, Sally, ride	<p>Mustang Sally, huh, huh, guess you better slow your mustang down<br />Oh Lord, what I said now?<br />Mustang Sally, now baby, oh Lord, guess you better slow your mustang down<br />Huh oh yeaah<br />You been running all over the town now<br />Oh! I guess I'll have to put your flat feet on the ground<br />Huh, what I said now?</p><p>Listen<br />All you want to do is ride around Sally, ride, Sally, ride<br />All you want to do is ride around Sally, ride, Sally, ride<br />All you want to do is ride around Sally, ride, Sally, ride. Huh<br />All you want to do is ride around Sally, ride, Sally, ride</p><p>One of these early mornings, baby, you gonna be wiping your weeping eyes<br />Huh, what I said now?</p><p>Look it here.<br />I bought you a brand new mustang nineteen sixty five. Huh<br />Now you come around signifying a woman, you don't wanna let me ride<br />Mustang Sally, now baby, oh Lord, guess you better slow that mustang down<br />Huh, oh Lord. Look here<br />You been running all over the town<br />Oh! I got to put your flat feet on the ground. Huh, What I said now?</p><p>Let me say it one more time ya'll<br />All you want to do is ride around Sally, ride, Sally, ride<br />All you want to do is ride around Sally, ride, Sally, ride</p>					2020-01-18	Yes	
My Best Friend's Girl	The Cars			75	80	Rock		50	1978		F Maj			122	3:43				My Best Friend's Girl.mp3								0000-00-00	Yes	
My Girl	The Temptations			25	20	Rock		1	1964					0	2:43				My Girl.mp3									Yes	
My Sharona	The Knack					Rock		0	1979	Rejected				0	4:55													Yes	
Mysterious Ways	U2				40	Rock		1	1991					0	4:03				Mysterious Ways.mp3									Yes	
Need You Tonight	INXS			75	80	Rock		20	1987					0	3:01				Need You Tonight.mp3								0000-00-00	Yes	
New Orleans Is Sinking	The Tragically Hip			75	60	Rock	Brad	80	1989		E			110	4:17				New Orleans Is Sinking.mp3		Bourbon blues on the street, loose and completeUnder skies all smoky blue greenI can't forsake a dixie dead shakeSo we danced the sidewalk clean\nMy memory is muddy, what's this river that I'm in?New Orleans is sinking, man, and I don't want to swim\nColonel Tom, what's wrong? What's going on?You can't tie yourself up for a dealHe said, Hey, north, you're south, shut your big mouthYou gotta do what you feel is real\nAin't got no picture postcards, ain't got no souvenirsMy baby she don't know me when I'm thinking bout those years\nPale as a light bulb hanging on a wireSucking up to someone just to stoke the firePicking out the highlights of the scenerySaw a little cloud that looked a little like me\nI had my hands in the river, my feet back up on the banksLooked up to the lord above and said, Hey, man, thanks\nSometimes I feel so good I got to screamShe said, Gordie, baby, I know exactly what you meanShe said, she said, I swear to god she said\nMy memory is muddy, what's this river that I'm in?New Orleans is sinking, man, and I don't want to swim\nSwim	<p>Bourbon blues on the street, loose and complete<br />Under skies all smoky blue green<br />I can't forsake a dixie dead shake<br />So we danced the sidewalk clean</p><p>My memory is muddy, what's this river that I'm in?<br />New Orleans is sinking, man, and I don't want to swim</p><p>Colonel Tom, what's wrong? What's going on?<br />You can't tie yourself up for a deal<br />He said, Hey, north, you're south, shut your big mouth<br />You gotta do what you feel is real</p><p>Ain't got no picture postcards, ain't got no souvenirs<br />My baby she don't know me when I'm thinking bout those years</p><p>Pale as a light bulb hanging on a wire<br />Sucking up to someone just to stoke the fire<br />Picking out the highlights of the scenery<br />Saw a little cloud that looked a little like me</p><p>I had my hands in the river, my feet back up on the banks<br />Looked up to the lord above and said, Hey, man, thanks</p><p>Sometimes I feel so good I got to scream<br />She said, Gordie, baby, I know exactly what you mean<br />She said, she said, I swear to god she said</p><p>My memory is muddy, what's this river that I'm in?<br />New Orleans is sinking, man, and I don't want to swim</p><p>Swim</p>					2020-01-18	Yes	
Nothing Ever Hurt Like You	James Morrison				20	Rock		1	2008					0	3:51				Nothing Ever Hurt Like You.mp3									Yes	
Ocean Pearl	54-40		Brad		20	Rock	Lorne	80	1994		E			116	3:27				Ocean Pearl.mp3								2020-01-18	Yes	
Oh, Pretty Woman	Roy Orbison				60	Rock		50	1964					127	2:58				Oh, Pretty Woman.mp3								0000-00-00	Yes	
One Headlight	The Wallflowers			75		Rock		40	1996	Retired	D Maj			108	5:12				One Headlight.mp3								0000-00-00	Yes	
One of These Nights	Eagles			75	20	Rock		1	1975					0	4:51				One Of These Nights.mp3									Yes	
Only Human	Jonas Brothers				40	Rock		55	2019				4/4	96	3:03				Only Human.mp3								0000-00-00	Yes	
Ophelia	The Band				20	Rock		1	1975					0	3:29				Ophelia.mp3									Yes	
Paradise Found	Shawn Austin					Rock		40	2017	Retired	Bb Major			0	3:15				Paradise Found.mp3									Yes	
Paralyzer	Finger Eleven					Rock		1	2007					0	3:28				Paralyzer.mp3						!	<p>!</p>		Yes	
Pink Cadillac	Bruce Springsteen		Brad ; Lorne; Chris		60	Rock	Brad; Lorne; Chris	80	1984		E			132	3:36				Pink Cadillac.mp3		Well now you may think I'm foolishFor the foolish things I doYou may wonder how come I love youWhen you get on my nerves like you doWell baby you know you bug meThere ain't no secret 'bout thatWell come on over here and hug meBaby I'll spill the factsWell honey it ain't your money'Cause baby I got plenty of thatI love you for your pink Cadillac\nWell now way back in the BibleTemptations always come alongThere's always somebody temptingSomebody into doing something they know is wrongWell they tempt you, man, with silverAnd they tempt you, sir, with goldAnd they tempt you with the pleasureThat the flesh does surely holdThey say Eve tempted Adam with an appleBut man I ain't going for thatI know it was her pink Cadillac\nNow some folks say it's too bigAnd uses too much gasSome folks say it's too oldAnd that it goes too fastBut my love is bigger than a HondaYeah, it's bigger than a SubaruHey man there's only one thingAnd one car that will doAnyway we don't have to drive itHoney we can park it out in backAnd have a party in your pink Cadillac\n	<p>Well now you may think I'm foolish<br />For the foolish things I do<br />You may wonder how come I love you<br />When you get on my nerves like you do<br />Well baby you know you bug me<br />There ain't no secret 'bout that<br />Well come on over here and hug me<br />Baby I'll spill the facts<br />Well honey it ain't your money<br />'Cause baby I got plenty of that<br />I love you for your pink Cadillac</p><p>Well now way back in the Bible<br />Temptations always come along<br />There's always somebody tempting<br />Somebody into doing something they know is wrong<br />Well they tempt you, man, with silver<br />And they tempt you, sir, with gold<br />And they tempt you with the pleasure<br />That the flesh does surely hold<br />They say Eve tempted Adam with an apple<br />But man I ain't going for that<br />I know it was her pink Cadillac</p><p>Now some folks say it's too big<br />And uses too much gas<br />Some folks say it's too old<br />And that it goes too fast<br />But my love is bigger than a Honda<br />Yeah, it's bigger than a Subaru<br />Hey man there's only one thing<br />And one car that will do<br />Anyway we don't have to drive it<br />Honey we can park it out in back<br />And have a party in your pink Cadillac</p><p></p>					2020-01-18	Yes	
Play That Funky Music	Wild Cherry			75	80	Rock		80	1976		E			109	5:01				Play That Funky Music.mp3								2020-01-18	Yes	
Poets	The Tragically Hip			75	40	Rock		80	1998		C			120	3:59				Poets.mp3		Spring starts when a heartbeat's poundingWhen the birds can be heard above the reckoning carts doing some final accountingLava flowing in Superfarmer's directionHe's been getting reprieve from the heat in the frozen food section\nDon't tell me what the poets are doingDon't tell me that they're talking toughDon't tell me that they're anti-socialSomehow not anti-social enough, all right\nAnd porn speaks to it's splintered legionsTo the pink amid the withered cornstalks in them winter regionsWhile aiming at the archetypal fatherHe said with such broad and tentative swipes why do you even bother?\nDon't tell me what the poets are doingThose Himalayas of the mindDon't tell me what the poet's been doingIn the long grasses over time\nDon't tell me what the poets are doingOn the street and the epitome of vagueDon't tell me how the universe is alteredWhen you find out how he gets paid, all right\nIf there's nothing more that you need nowThe lawn cut by bare breasted womenBeach bleached towels within reach for the womenGot to make it, that'll make it by swimming	<p>Spring starts when a heartbeat's pounding<br />When the birds can be heard above the reckoning carts doing some final accounting<br />Lava flowing in Superfarmer's direction<br />He's been getting reprieve from the heat in the frozen food section</p><p>Don't tell me what the poets are doing<br />Don't tell me that they're talking tough<br />Don't tell me that they're anti-social<br />Somehow not anti-social enough, all right</p><p>And porn speaks to it's splintered legions<br />To the pink amid the withered cornstalks in them winter regions<br />While aiming at the archetypal father<br />He said with such broad and tentative swipes why do you even bother?</p><p>Don't tell me what the poets are doing<br />Those Himalayas of the mind<br />Don't tell me what the poet's been doing<br />In the long grasses over time</p><p>Don't tell me what the poets are doing<br />On the street and the epitome of vague<br />Don't tell me how the universe is altered<br />When you find out how he gets paid, all right</p><p>If there's nothing more that you need now<br />The lawn cut by bare breasted women<br />Beach bleached towels within reach for the women<br />Got to make it, that'll make it by swimming</p>					2020-01-18	Yes	
Pride and Joy	Stevie Ray Vaughan & Double Trouble			25	40	Rock		80	1983		E			120	3:39				Pride And Joy.mp3		Well you've heard about love givin' sight to the blindMy baby's lovin' cause the sun to shine\nYeah I love my baby, my heart and soulLove like ours won't never grow old\nYeah I love my lady, she's long and leanYou mess with her, you'll see a man gettin' mean\nWell I love my baby like the finest wineStick with her until the end of time\nYeah I love my baby, my heart and soulLove like ours will never grow old	<p>Well you've heard about love givin' sight to the blind<br />My baby's lovin' cause the sun to shine</p><p>Yeah I love my baby, my heart and soul<br />Love like ours won't never grow old</p><p>Yeah I love my lady, she's long and lean<br />You mess with her, you'll see a man gettin' mean</p><p>Well I love my baby like the finest wine<br />Stick with her until the end of time</p><p>Yeah I love my baby, my heart and soul<br />Love like ours will never grow old</p>					2020-01-18	Yes	
Pump It Up	Elvis Costello			75	80	Rock		80	1978		B			139	3:17				Pump It Up.mp3								2020-01-18	Yes	
Purple Haze	Jimi Hendrix				40	Rock		1	1970		E			0	2:50				Purple Haze.mp3									Yes	
Rebel Yell	Billy Idol			75		Rock		1	1983	Rejected				0	4:46				Rebel Yell.mp3									Yes	
Red Red Wine	UB40			75	20	Rock		1	1983					0	3:01				Red Red Wine.mp3									Yes	
Refrigerator Car	Spin Doctors			75		Rock		0						0	4:45											<p></p>		Yes	
Renegade	Styx				20	Rock		1	1978		D min		4/4	0	4:13				Renegade.mp3									Yes	
Rock'n Me	Steve Miller Band				40	Rock		60	1976		B Maj			116	3:05				Rock'n Me.mp3								2020-01-18	Yes	
Rockin' In the Free World	Neil Young			75	80	Rock		80	1989		E			136	4:41				Rockin' in the Free World.mp3								2020-01-18	Yes	
Runaround Sue	Dion			25	60	Rock		1	1961					0	2:51				Runaround Sue.mp3									Yes	
Satisfaction	The Rolling Stones		Lorne		40	Rock	Brad	60	1965		E			136	3:44				CommonGround.mp3		When I'm drivin' in my carAnd a man comes on the radioHe's tellin' me more and moreAbout some useless informationSupposed to fire my imagination\nI can't get no...\nWhen I'm watchin' my TVAnd a man comes on and tells meHow white my shirts can beBut he can't be a man 'cause he doesn't smokeThe same cigarettes as me\nI can't get no..\nWhen I'm ridin' round the worldAnd I'm doin' this and I'm signin' thatAnd I'm tryin' to make some girlWho tells me baby better come back maybe next week'Cause you see I'm on a losing streak\nI can't get no...\n	<p>When I'm drivin' in my car<br />And a man comes on the radio<br />He's tellin' me more and more<br />About some useless information<br />Supposed to fire my imagination</p><p>I can't get no...</p><p>When I'm watchin' my TV<br />And a man comes on and tells me<br />How white my shirts can be<br />But he can't be a man 'cause he doesn't smoke<br />The same cigarettes as me</p><p>I can't get no..</p><p>When I'm ridin' round the world<br />And I'm doin' this and I'm signin' that<br />And I'm tryin' to make some girl<br />Who tells me baby better come back maybe next week<br />'Cause you see I'm on a losing streak</p><p>I can't get no...</p><p></p>					2020-01-18	Yes	
Save a Horse	Big & Rich			75	80	Rock		80	2004		E			102.5	3:20				Save a Horse.mp3								2020-01-18	Yes	
Semi-Charmed Life	Third Eye Blind			75	60	Rock		1	1997					0	4:28				Semi-Charmed Life.mp3									Yes	
Seven Bridges Road	Eagles			75	10	Rock		30	1980		G Maj			112	3:04				Seven Bridges Road.mp3									Yes	
Shape of You	Ed Sheeran			75	60	Rock		60	2017		C# Min			96	3:53				Shape of You.mp3	Shape Of You (112)							2020-01-18	Yes	
Sharp Dressed Man	ZZ Top				40	Rock		70	1983		C			125	4:14				Sharp Dressed Man.mp3								2020-01-18	Yes	
Shinbone Alley / Hard to Exist	Spin Doctors					Rock		0						106	12:43				Shinbone Alley / Hard to Exist.m4a									Yes	
Short Change Hero	The Heavy				20	Rock		1	2009					0	5:20				Short Change Hero.mp3									Yes	
Shut Up and Dance	WALK THE MOON				60	Rock		1	2014					0	3:19				Shut Up And Dance .mp3									Yes	
Signed, Sealed, Delivered (I'm Yours)	Stevie Wonder			25	40	Rock		1	1970					0	2:41				Signed, Sealed, Delivered (I'm Yours).mp3									Yes	
Smooth	Santana				60	Rock		1	1999					0	4:00				Smooth.mp3									Yes	
Somebody Like You	Keith Urban				20	Rock		1	2002					0	5:23				Somebody Like You.mp3									Yes	
Springsteen	Eric Church			75	10	Rock		80	2011		D			108	4:23				Springsteen.mp3								2020-01-18	Yes	
Stand By Me	Ben E. King				10	Rock		1	1961					0	3:01				Stand By Me.mp3									Yes	
Stayin' Alive	Bee Gees				80	Rock		1	1978					0	1:32				Stayin' Alive.mp3									Yes	
Stir It Up	Bob Marley & The Wailers				20	Rock		1	1973					0	5:31				Stir It Up.mp3									Yes	
Stuck in the Middle with You	Keith Urban & The Ranch			25	20	Rock		1	1997					0	3:48				Stuck In the Middle With You.mp3									Yes	
Sucker	Jonas Brothers			75	80	Rock		55	2019		C# Min		4/4	138	3:01				Sucker.mp3								0000-00-00	Yes	
Summer of '69	Bryan Adams			75	80	Rock		80	1988		D			139	3:36				Summer of '69.mp3								2020-01-18	Yes	
Super Freak	Rick James			75	80	Rock		30	1981		A min			132.5	3:25				Super Freak.mp3								0000-00-00	Yes	
Superstition	Stevie Wonder				20	Rock	Brad	70	1972		E			100	4:04				Superstition.mp3		Very superstitious, writings on the wall,Very superstitious, ladders 'bout to fall,Thirteen-months-old baby broke the lookin' glassSeven years of bad luck, the good things in your past\nVery superstitious, wash your face and hands,Rid me of the problem, do all that you can,Keep me in a daydream, keep me goin' strong,You don't wanna save me, sad is my song\nVery superstitious, nothin' more to say,Very superstitious, the devil's on his way,Thirteen-months-old baby broke the lookin' glass,Seven years of bad luck, good things in your past\n	<p>Very superstitious, writings on the wall,<br />Very superstitious, ladders 'bout to fall,<br />Thirteen-months-old baby broke the lookin' glass<br />Seven years of bad luck, the good things in your past</p><p>Very superstitious, wash your face and hands,<br />Rid me of the problem, do all that you can,<br />Keep me in a daydream, keep me goin' strong,<br />You don't wanna save me, sad is my song</p><p>Very superstitious, nothin' more to say,<br />Very superstitious, the devil's on his way,<br />Thirteen-months-old baby broke the lookin' glass,<br />Seven years of bad luck, good things in your past</p><p></p>					2020-01-18	Yes	
Sweet Caroline	Neil Diamond				40	Rock		60	1969		B			128	3:20				Sweet Caroline.mp3	Sweet Caroline (079)							2020-01-18	Yes	
Sweet Child O' Mine	Guns N' Roses			75	80	Rock		70	1988		D Maj			125	5:55				Sweet Child O' Mine.mp3								2020-01-18	Yes	
Sweet Home Alabama	Lynyrd Skynyrd				40	Rock		1	1974					0	4:43				Sweet Home Alabama.mp3									Yes	
Tell Me Baby	Red Hot Chili Peppers			75	20	Rock		40	2006		A			107.5	4:07				Tell Me Baby.mp3						http://www.allofmp3.com	<p>http://www.allofmp3.com</p>	2019-06-28	Yes	
Tennessee Whiskey	Chris Stapleton				10	Rock		1	2015					0	4:53				Tennessee Whiskey.mp3									Yes	
Tequila	The Champs					Rock		1	1958					0	2:16				Tequila.mp3									Yes	
That's My Kind of Night	Luke Bryan				20	Rock		70	2013		E			110	3:10				That's My Kind of Night.mp3								2020-01-18	Yes	
The Breakup Song	Greg Kihn Band			25	60	Rock		40	1980		A min			146	2:49				The Breakup Song.mp3									Yes	
The Twist	Chubby Checker			25	80	Rock		1	1960					0	2:33				The Twist.mp3									Yes	
The Way	Fastball				60	Rock		1	1998					0	4:17				The Way.mp3									Yes	
The Weight	The Band				10	Rock		80	1968		A			72	4:34				The Weight.mp3								2020-01-18	Yes	
Thinking Out Loud	Ed Sheeran			25	10	Rock		60	2014		D Maj			79	4:41				Thinking Out Loud.mp3	Thinking Out Loud (115)							2020-01-18	Yes	
Tightrope	Stevie Ray Vaughan			25		Rock		40	1989	Retired	F min			98	4:40				Tightrope.mp3									Yes	
Troubadour	George Strait					Rock		0	2008					0	2:56													Yes	
Two Princes	Spin Doctors					Rock		0						0	4:16											<p></p>		Yes	
U Can't Touch This	MC Hammer			25	80	Rock		1	1990					0	4:17				U Can't Touch This.mp3									Yes	
Under Pressure	David Bowie & Queen			75		Rock		0	1981					0	3:57													Yes	
Wake Me Up	Avicii					Rock		20	2012					0	4:09				Wake Me Up.mp3								0000-00-00	Yes	
Walk This Way	Aerosmith			75	60	Rock		30	1977					109	3:40				Walk This Way .mp3									Yes	
We Are the Champions	Queen			75		Rock		0	1977					0	3:00													Yes	
Whiskey Glasses	Morgan Wallen				20	Rock		20	2019		F# Maj / Dmin		4/4	75	3:54				Whiskey Glasses.mp3								0000-00-00	Yes	
White Wedding	Billy Idol			75	60	Rock		60	1982		B			147	4:12				White Wedding.mp3	White Wedding	[Bmin]Hey little sister what have you done?\n[A] [E]\n[Bmin]Hey little sister who's the only one?\nHey little sister who's your superman?\nHey little sister who's the one you want?\nHey little sister shot gun!\nIt's a nice day to start again.\nIt's a nice day for a white wedding.\nIt's a nice day to start again.\nHey little sister who is it you're with?\nHey little sister what's your vice and wish?\nHey little sister shot gun (oh yeah)\nHey little sister who's your superman?\nHey little sister shot gun!\nIt's a nice day to start again (come on)\nIt's a nice day for a white wedding\nIt's a nice day to start again.\n(Pick it up)\nTake me back home\nHey little sister what have you done?\nHey little sister who's the only one?\nI've been away for so long (so long)\nI've been away for so long (so long)\nI let you go for so long\nIt's a nice day to start again (come on)\nIt's a nice day for a white wedding\nIt's a nice day to start again.\nThere is nothin' fair in this world\nThere is nothin' safe in this world\nAnd there's nothin' sure in this world\nAnd there's nothin' pure in this world\nLook for something left in this world\nStart again\nCome on\nIt's a nice day for a white wedding\nIt's a nice day to start again.\nIt's a nice day to start again.\nIt's a nice day to start again	<p>[<span style="color: #F29137;">Bmin</span>]Hey little sister what have you done?<br />[<span style="color: #F29137;">A</span>] [<span style="color: #F29137;">E</span>]<br />[<span style="color: #F29137;">Bmin</span>]Hey little sister who's the only one?<br />Hey little sister who's your superman?<br />Hey little sister who's the one you want?<br />Hey little sister shot gun!</p><p>It's a nice day to start again.<br />It's a nice day for a white wedding.<br />It's a nice day to start again.</p><p>Hey little sister who is it you're with?<br />Hey little sister what's your vice and wish?<br />Hey little sister shot gun (oh yeah)<br />Hey little sister who's your superman?<br />Hey little sister shot gun!</p><p>It's a nice day to start again (come on)<br />It's a nice day for a white wedding<br />It's a nice day to start again.</p><p>(Pick it up)</p><p>Take me back home</p><p>Hey little sister what have you done?<br />Hey little sister who's the only one?<br />I've been away for so long (so long)<br />I've been away for so long (so long)<br />I let you go for so long</p><p>It's a nice day to start again (come on)<br />It's a nice day for a white wedding<br />It's a nice day to start again.</p><p>There is nothin' fair in this world<br />There is nothin' safe in this world<br />And there's nothin' sure in this world<br />And there's nothin' pure in this world<br />Look for something left in this world<br />Start again</p><p>Come on<br />It's a nice day for a white wedding<br />It's a nice day to start again.<br />It's a nice day to start again.<br />It's a nice day to start again</p>					2020-01-18	Yes	
Wild Night	Van Morrison			75	60	Rock		60	1971		E			145	3:34				Wild Night.mp3								2020-01-18	Yes	
Wish I Knew You	The Revivalists			25		Rock		0	2016	Rejected				0	4:34													Yes	
Word Up!	Cameo			75		Rock		1	1986	Rejected				0	4:19				Word Up!.mp3									Yes	
You Can Call Me Al	Paul Simon			75	80	Rock		20	1986					0	4:40				You Can Call Me Al.mp3								0000-00-00	Yes	
You Give Love A Bad Name	Bon Jovi					Rock		0	1986					0	3:43													Yes	
You Might Think	The Cars			75	60	Rock		50	1984		D Maj			126	3:04				You Might Think.mp3								0000-00-00	Yes	
You Sexy Thing	Hot Chocolate				60	Rock		1	1976					0	4:04				You Sexy Thing.mp3									Yes	
You Shook Me All Night Long	AC/DC				80	Rock		50	1980		G Maj			127	3:30				You Shook Me All Night Long.mp3						!\nCleaned by TuneUp!	<p>!</p><p>Cleaned by TuneUp!</p>	0000-00-00	Yes	
Margaritaville	Jimmy Buffet			25	20	Rock		40	1977		D Maj			125	4:11				Margaritaville.mp3									Yes	2019-09-17 16:23:30
Wonderful Tonight	Eric Clapton			25	10	Rock		40	1977		G Maj			96	3:43				Wonderful Tonight.mp3									Yes	2019-09-17 16:23:55
Boot Scootin' Boogie	Brooks & Dunn			75	80	Rock		30	1991		E			130	3:18				Boot Scootin' Boogie.mp3									Yes	2019-09-17 17:14:14
Fishin' In The Dark	Nitty Gritty Dirt Band				10	Rock		20	1987					0	3:23				Fishin' In The Dark.mp3									Yes	2019-09-19 10:17:17
Chattahoochie	Alan Jackson				80	Rock		30	1992		C Maj			176	2:27				Chattahoochie.mp3									Yes	2019-09-20 13:40:33
Walk of LIfe	Dire Straits					Rock		0						0					Walk of LIfe.mp3									Yes	2019-09-24 00:14:09
The Other Side	Aerosmith			75	60	Rock		1	1990		E			0	4:04				The Other Side.mp3									Yes	2019-10-05 16:32:49
Angel	Aerosmith			75	10	Rock		1	1988					0	3:10				Angel.mp3									Yes	2019-10-05 16:33:14
Draw The Line	Aerosmith					Rock		0						0					Draw The Line.mp3									Yes	2019-10-05 17:07:15
Sweet Emotion	Aerosmith					Rock		0						0					Sweet Emotion.mp3									Yes	2019-10-05 17:07:19
Dude (Looks Like a Lady) 	Aerosmith			75		Rock		0						0					Dude (Looks Like a Lady) .mp3									Yes	2019-10-05 17:07:21
Old Town Road	Lil Nas X			25	20	Rock		30	2019					68	2:37				Old Town Road.mp3									Yes	2019-10-08 23:18:41
